filename,course_name,final_exam,midterm_tests,quizzes,project,participation,other,total_weight
file_38.pdf,CALCULUS 1,40,35,0,0,0,15,90
file_39.pdf,LINEAR ALGEBRA,40,30,0,15,15,0,100
file_40.pdf,DISCRETE MATHEMATICS,40,40,0,0,20,0,100
file_41.pdf,GEOMETRY,40,30,0,15,15,0,100
file_43.pdf,CALCULUS 2,35,35,0,15,15,0,100
file_48.pdf,IE HUMANITIES,60,40,0,0,0,0,100
file_49.pdf,ORDINARY DIFFERENTIAL EQUATIONS,50,30,0,0,5,15,100
file_51.pdf,OPTIMIZATION I,40,30,0,15,15,0,100
file_52.pdf,MACHINE LEARNING,40,20,10,15,15,0,100
file_56.pdf,APPROXIMATION,30,40,0,0,10,20,100
file_57.pdf,STATISTICAL MODELING,30,30,0,10,10,20,100
file_58.pdf,OPTIMIZATION II,30,40,0,15,15,0,100
file_60.pdf,PARTIAL DIFFERENTIAL EQUATIONS,50,30,0,10,10,0,100
file_62.pdf,OPTIMIZATION III,45,25,0,20,10,0,100
file_63.pdf,NUMERICAL LINEAR ALGEBRA,50,25,0,15,10,0,100
file_65.pdf,NONLINEAR DYNAMICS,40,30,0,25,5,0,100
file_66.pdf,DEEP LEARNING,40,30,0,20,10,0,100
